"Date","PROSPECT PM10 24h average [µg/m³]"
01/05/2015,9.9
02/05/2015,12.3
03/05/2015,9.7
04/05/2015,16.6
05/05/2015,23.5
06/05/2015,68.7
07/05/2015,17.5
08/05/2015,17.2
09/05/2015,16.4
10/05/2015,13.8
11/05/2015,11.6
12/05/2015,10.9
13/05/2015,13.5
14/05/2015,13.9
15/05/2015,13.5
16/05/2015,14.7
17/05/2015,14.2
18/05/2015,20.9
19/05/2015,13.1
20/05/2015,10.2
21/05/2015,12.4
22/05/2015,8.6
23/05/2015,15.6
24/05/2015,19.1
25/05/2015,30.7
26/05/2015,23.7
27/05/2015,22.7
28/05/2015,19.0
29/05/2015,17.7
30/05/2015,20.8
31/05/2015,14.8
01/06/2015,8.7
02/06/2015,17.1
03/06/2015,21.7
04/06/2015,18.1
05/06/2015,15.0
06/06/2015,26.6
07/06/2015,19.1
08/06/2015,9.6
09/06/2015,17.5
10/06/2015,25.2
11/06/2015,24.0
12/06/2015,23.5
13/06/2015,24.9
14/06/2015,26.0
15/06/2015,20.2
16/06/2015,8.9
17/06/2015,6.2
18/06/2015,9.7
19/06/2015,7.9
20/06/2015,12.2
21/06/2015,19.0
22/06/2015,14.1
23/06/2015,15.1
24/06/2015,15.2
25/06/2015,19.7
26/06/2015,21.0
27/06/2015,22.9
28/06/2015,30.1
29/06/2015,24.5
30/06/2015,24.7
01/07/2015,17.4
02/07/2015,10.9
03/07/2015,21.5
04/07/2015,24.4
05/07/2015,28.9
06/07/2015,17.0
07/07/2015,17.7
08/07/2015,16.8
09/07/2015,20.1
10/07/2015,18.4
11/07/2015,10.5
12/07/2015,3.4
13/07/2015,6.2
14/07/2015,9.3
15/07/2015,14.0
16/07/2015,12.4
17/07/2015,8.0
18/07/2015,9.6
19/07/2015,13.2
20/07/2015,18.5
21/07/2015,16.5
22/07/2015,12.3
23/07/2015,15.8
24/07/2015,11.7
25/07/2015,9.2
26/07/2015,8.1
27/07/2015,13.6
28/07/2015,18.6
29/07/2015,21.0
30/07/2015,15.2
31/07/2015,15.6
01/08/2015,14.9
02/08/2015,15.1
03/08/2015,11.8
04/08/2015,15.2
05/08/2015,13.1
06/08/2015,12.9
07/08/2015,11.9
08/08/2015,20.2
09/08/2015,19.0
10/08/2015,12.9
11/08/2015,16.6
12/08/2015,12.5
13/08/2015,12.7
14/08/2015,13.9
15/08/2015,17.6
16/08/2015,17.7
17/08/2015,15.0
18/08/2015,14.7
19/08/2015,23.4
20/08/2015,27.2
21/08/2015,28.8
22/08/2015,19.7
23/08/2015,12.9
24/08/2015,10.1
25/08/2015,3.1
26/08/2015,7.0
27/08/2015,6.0
28/08/2015,10.0
29/08/2015,9.4
30/08/2015,9.5
31/08/2015,11.1
01/09/2015,18.0
02/09/2015,15.2
03/09/2015,11.9
04/09/2015,18.7
05/09/2015,15.5
06/09/2015,10.4
07/09/2015,8.8
08/09/2015,9.9
09/09/2015,12.2
10/09/2015,17.3
11/09/2015,15.4
12/09/2015,18.4
13/09/2015,18.8
14/09/2015,23.4
15/09/2015,21.4
16/09/2015,16.0
17/09/2015,15.7
18/09/2015,13.0
19/09/2015,11.7
20/09/2015,13.9
21/09/2015,11.6
22/09/2015,11.9
23/09/2015,13.7
24/09/2015,10.3
25/09/2015,12.0
26/09/2015,8.3
27/09/2015,10.4
28/09/2015,17.1
29/09/2015,17.2
30/09/2015,29.9
01/10/2015,--
02/10/2015,--
03/10/2015,20.6
04/10/2015,20.2
05/10/2015,20.7
06/10/2015,25.3
07/10/2015,38.5
08/10/2015,29.0
09/10/2015,26.2
10/10/2015,28.8
11/10/2015,23.2
12/10/2015,14.8
13/10/2015,17.0
14/10/2015,17.6
15/10/2015,23.7
16/10/2015,24.5
17/10/2015,35.3
18/10/2015,26.7
19/10/2015,22.0
20/10/2015,22.4
21/10/2015,18.0
22/10/2015,11.3
23/10/2015,17.0
24/10/2015,16.8
25/10/2015,16.3
26/10/2015,25.8
27/10/2015,16.8
28/10/2015,16.0
29/10/2015,19.9
30/10/2015,20.9
31/10/2015,17.8
01/11/2015,13.3
02/11/2015,12.0
03/11/2015,12.3
04/11/2015,7.8
05/11/2015,9.8
06/11/2015,11.6
07/11/2015,21.6
08/11/2015,14.7
09/11/2015,16.0
10/11/2015,19.8
11/11/2015,23.0
12/11/2015,12.8
13/11/2015,13.6
14/11/2015,11.5
15/11/2015,12.9
16/11/2015,13.2
17/11/2015,16.4
18/11/2015,22.5
19/11/2015,31.0
20/11/2015,32.9
21/11/2015,25.3
22/11/2015,22.1
23/11/2015,31.7
24/11/2015,26.3
25/11/2015,30.5
26/11/2015,45.1
27/11/2015,48.0
28/11/2015,28.6
29/11/2015,25.4
30/11/2015,20.8
01/12/2015,23.0
02/12/2015,--
03/12/2015,27.9
04/12/2015,22.1
05/12/2015,22.2
06/12/2015,15.3
07/12/2015,14.5
08/12/2015,21.1
09/12/2015,17.3
10/12/2015,30.2
11/12/2015,30.9
12/12/2015,34.3
13/12/2015,26.5
14/12/2015,34.7
15/12/2015,33.4
16/12/2015,18.4
17/12/2015,17.7
18/12/2015,16.9
19/12/2015,25.0
20/12/2015,24.6
21/12/2015,27.9
22/12/2015,11.3
23/12/2015,23.2
24/12/2015,20.3
25/12/2015,15.4
26/12/2015,11.2
27/12/2015,20.7
28/12/2015,14.2
29/12/2015,13.9
30/12/2015,14.4
31/12/2015,17.7
01/01/2016,16.9
02/01/2016,18.6
03/01/2016,15.6
04/01/2016,17.7
05/01/2016,16.7
06/01/2016,10.6
07/01/2016,14.3
08/01/2016,19.6
09/01/2016,24.0
10/01/2016,21.5
11/01/2016,20.1
12/01/2016,30.4
13/01/2016,28.5
14/01/2016,26.8
15/01/2016,12.2
16/01/2016,11.7
17/01/2016,10.7
18/01/2016,11.2
19/01/2016,17.6
20/01/2016,23.8
21/01/2016,25.8
22/01/2016,11.1
23/01/2016,11.2
24/01/2016,31.8
25/01/2016,30.1
26/01/2016,11.9
27/01/2016,15.6
28/01/2016,15.7
29/01/2016,18.3
30/01/2016,14.8
31/01/2016,17.6
01/02/2016,15.7
02/02/2016,14.6
03/02/2016,19.4
04/02/2016,21.8
05/02/2016,23.6
06/02/2016,22.2
07/02/2016,21.0
08/02/2016,15.1
09/02/2016,25.1
10/02/2016,20.7
11/02/2016,12.5
12/02/2016,13.2
13/02/2016,14.3
14/02/2016,25.5
15/02/2016,36.8
16/02/2016,27.8
17/02/2016,22.1
18/02/2016,29.5
19/02/2016,27.8
20/02/2016,27.2
21/02/2016,13.6
22/02/2016,18.3
23/02/2016,16.7
24/02/2016,19.1
25/02/2016,27.7
26/02/2016,35.3
27/02/2016,25.4
28/02/2016,17.8
29/02/2016,20.1
01/03/2016,14.8
02/03/2016,15.2
03/03/2016,18.2
04/03/2016,17.4
05/03/2016,13.4
06/03/2016,15.0
07/03/2016,41.2
08/03/2016,26.2
09/03/2016,18.1
10/03/2016,30.6
11/03/2016,22.3
12/03/2016,22.0
13/03/2016,16.1
14/03/2016,24.1
15/03/2016,14.3
16/03/2016,11.6
17/03/2016,12.2
18/03/2016,10.6
19/03/2016,14.6
20/03/2016,12.0
21/03/2016,9.2
22/03/2016,9.9
23/03/2016,20.4
24/03/2016,22.8
25/03/2016,22.3
26/03/2016,22.7
27/03/2016,17.0
28/03/2016,19.3
29/03/2016,21.0
30/03/2016,18.2
31/03/2016,--
01/04/2016,24.7
02/04/2016,31.4
03/04/2016,28.5
04/04/2016,15.1
05/04/2016,26.4
06/04/2016,38.2
07/04/2016,29.5
08/04/2016,31.4
09/04/2016,24.3
10/04/2016,30.0
11/04/2016,35.8
12/04/2016,20.7
13/04/2016,19.8
14/04/2016,13.9
15/04/2016,15.0
16/04/2016,30.7
17/04/2016,17.0
18/04/2016,14.7
19/04/2016,16.1
20/04/2016,17.9
21/04/2016,16.9
22/04/2016,20.8
23/04/2016,13.8
24/04/2016,18.8
25/04/2016,19.5
26/04/2016,16.0
27/04/2016,13.1
28/04/2016,18.5
29/04/2016,36.4
30/04/2016,27.1