"Date","ST MARYS PM10 24h average [µg/m³]"
01/05/2015,7.9
02/05/2015,9.7
03/05/2015,8.3
04/05/2015,12.0
05/05/2015,22.2
06/05/2015,53.0
07/05/2015,12.0
08/05/2015,13.2
09/05/2015,11.4
10/05/2015,12.0
11/05/2015,8.4
12/05/2015,10.0
13/05/2015,8.2
14/05/2015,9.6
15/05/2015,10.2
16/05/2015,11.1
17/05/2015,10.0
18/05/2015,15.0
19/05/2015,10.5
20/05/2015,9.2
21/05/2015,7.6
22/05/2015,6.3
23/05/2015,9.4
24/05/2015,8.6
25/05/2015,14.7
26/05/2015,--
27/05/2015,13.8
28/05/2015,17.7
29/05/2015,13.5
30/05/2015,13.8
31/05/2015,15.7
01/06/2015,7.7
02/06/2015,8.1
03/06/2015,9.1
04/06/2015,11.6
05/06/2015,11.3
06/06/2015,16.4
07/06/2015,17.5
08/06/2015,15.3
09/06/2015,12.4
10/06/2015,15.2
11/06/2015,18.4
12/06/2015,14.9
13/06/2015,11.0
14/06/2015,14.3
15/06/2015,18.5
16/06/2015,9.5
17/06/2015,8.2
18/06/2015,6.9
19/06/2015,5.8
20/06/2015,7.1
21/06/2015,14.1
22/06/2015,12.6
23/06/2015,11.9
24/06/2015,12.2
25/06/2015,11.6
26/06/2015,9.4
27/06/2015,10.7
28/06/2015,16.2
29/06/2015,15.5
30/06/2015,17.0
01/07/2015,9.5
02/07/2015,10.0
03/07/2015,10.3
04/07/2015,12.7
05/07/2015,15.2
06/07/2015,14.5
07/07/2015,12.2
08/07/2015,10.0
09/07/2015,10.9
10/07/2015,15.1
11/07/2015,6.7
12/07/2015,3.4
13/07/2015,4.5
14/07/2015,7.1
15/07/2015,9.9
16/07/2015,6.6
17/07/2015,4.9
18/07/2015,8.7
19/07/2015,8.6
20/07/2015,11.7
21/07/2015,12.1
22/07/2015,13.9
23/07/2015,10.3
24/07/2015,11.7
25/07/2015,7.4
26/07/2015,7.1
27/07/2015,9.0
28/07/2015,12.7
29/07/2015,13.8
30/07/2015,12.6
31/07/2015,13.5
01/08/2015,14.0
02/08/2015,13.8
03/08/2015,9.9
04/08/2015,10.2
05/08/2015,13.0
06/08/2015,8.1
07/08/2015,10.1
08/08/2015,14.6
09/08/2015,15.2
10/08/2015,15.7
11/08/2015,13.8
12/08/2015,10.9
13/08/2015,7.9
14/08/2015,13.5
15/08/2015,14.0
16/08/2015,15.2
17/08/2015,15.9
18/08/2015,--
19/08/2015,--
20/08/2015,24.0
21/08/2015,34.0
22/08/2015,27.2
23/08/2015,17.5
24/08/2015,7.2
25/08/2015,2.3
26/08/2015,4.7
27/08/2015,7.3
28/08/2015,6.6
29/08/2015,6.1
30/08/2015,7.5
31/08/2015,9.1
01/09/2015,10.6
02/09/2015,14.3
03/09/2015,8.8
04/09/2015,14.8
05/09/2015,11.3
06/09/2015,9.3
07/09/2015,7.7
08/09/2015,6.7
09/09/2015,12.1
10/09/2015,15.5
11/09/2015,19.6
12/09/2015,16.7
13/09/2015,17.7
14/09/2015,24.4
15/09/2015,18.2
16/09/2015,14.1
17/09/2015,14.2
18/09/2015,12.9
19/09/2015,10.1
20/09/2015,10.5
21/09/2015,9.8
22/09/2015,9.4
23/09/2015,9.9
24/09/2015,9.5
25/09/2015,12.3
26/09/2015,7.4
27/09/2015,7.8
28/09/2015,14.0
29/09/2015,15.4
30/09/2015,26.7
01/10/2015,23.5
02/10/2015,21.2
03/10/2015,15.6
04/10/2015,17.1
05/10/2015,17.7
06/10/2015,19.4
07/10/2015,33.6
08/10/2015,28.2
09/10/2015,28.0
10/10/2015,25.6
11/10/2015,21.3
12/10/2015,13.6
13/10/2015,12.7
14/10/2015,16.3
15/10/2015,19.6
16/10/2015,26.4
17/10/2015,35.4
18/10/2015,24.5
19/10/2015,19.1
20/10/2015,15.9
21/10/2015,16.7
22/10/2015,9.7
23/10/2015,14.3
24/10/2015,10.5
25/10/2015,13.3
26/10/2015,20.4
27/10/2015,15.1
28/10/2015,13.1
29/10/2015,16.5
30/10/2015,18.7
31/10/2015,15.0
01/11/2015,10.4
02/11/2015,11.2
03/11/2015,--
04/11/2015,8.1
05/11/2015,9.2
06/11/2015,10.5
07/11/2015,14.7
08/11/2015,13.0
09/11/2015,13.4
10/11/2015,19.2
11/11/2015,21.6
12/11/2015,9.8
13/11/2015,11.4
14/11/2015,10.3
15/11/2015,12.0
16/11/2015,11.6
17/11/2015,8.8
18/11/2015,18.8
19/11/2015,24.5
20/11/2015,--
21/11/2015,27.4
22/11/2015,20.6
23/11/2015,27.5
24/11/2015,22.3
25/11/2015,24.5
26/11/2015,41.7
27/11/2015,48.3
28/11/2015,26.0
29/11/2015,19.3
30/11/2015,21.0
01/12/2015,21.0
02/12/2015,26.2
03/12/2015,23.9
04/12/2015,16.4
05/12/2015,17.1
06/12/2015,16.8
07/12/2015,16.5
08/12/2015,24.6
09/12/2015,15.4
10/12/2015,26.2
11/12/2015,28.1
12/12/2015,34.6
13/12/2015,30.6
14/12/2015,28.9
15/12/2015,--
16/12/2015,12.5
17/12/2015,30.3
18/12/2015,--
19/12/2015,17.6
20/12/2015,24.0
21/12/2015,21.9
22/12/2015,9.8
23/12/2015,16.5
24/12/2015,13.3
25/12/2015,11.0
26/12/2015,10.1
27/12/2015,15.9
28/12/2015,11.8
29/12/2015,11.6
30/12/2015,13.0
31/12/2015,15.9
01/01/2016,14.7
02/01/2016,15.8
03/01/2016,13.5
04/01/2016,11.2
05/01/2016,11.3
06/01/2016,8.0
07/01/2016,10.5
08/01/2016,15.9
09/01/2016,20.8
10/01/2016,18.3
11/01/2016,20.8
12/01/2016,28.7
13/01/2016,39.3
14/01/2016,26.3
15/01/2016,9.5
16/01/2016,9.4
17/01/2016,9.3
18/01/2016,8.7
19/01/2016,17.6
20/01/2016,21.7
21/01/2016,21.4
22/01/2016,10.4
23/01/2016,9.1
24/01/2016,27.1
25/01/2016,27.7
26/01/2016,12.0
27/01/2016,14.7
28/01/2016,15.1
29/01/2016,16.5
30/01/2016,13.7
31/01/2016,13.1
01/02/2016,13.6
02/02/2016,11.6
03/02/2016,29.9
04/02/2016,15.9
05/02/2016,23.3
06/02/2016,16.1
07/02/2016,16.0
08/02/2016,13.7
09/02/2016,22.8
10/02/2016,38.7
11/02/2016,31.1
12/02/2016,15.9
13/02/2016,13.4
14/02/2016,25.2
15/02/2016,30.4
16/02/2016,21.1
17/02/2016,33.3
18/02/2016,28.3
19/02/2016,28.2
20/02/2016,23.1
21/02/2016,12.6
22/02/2016,16.6
23/02/2016,13.5
24/02/2016,18.7
25/02/2016,23.8
26/02/2016,29.8
27/02/2016,22.7
28/02/2016,14.2
29/02/2016,17.2
01/03/2016,12.4
02/03/2016,17.6
03/03/2016,20.2
04/03/2016,18.4
05/03/2016,13.9
06/03/2016,16.1
07/03/2016,--
08/03/2016,
09/03/2016,--
10/03/2016,--
11/03/2016,--
12/03/2016,17.3
13/03/2016,13.9
14/03/2016,23.4
15/03/2016,12.9
16/03/2016,10.7
17/03/2016,11.0
18/03/2016,10.9
19/03/2016,11.8
20/03/2016,--
21/03/2016,--
22/03/2016,7.3
23/03/2016,13.5
24/03/2016,15.8
25/03/2016,19.9
26/03/2016,18.8
27/03/2016,15.4
28/03/2016,17.3
29/03/2016,19.8
30/03/2016,11.5
31/03/2016,13.4
01/04/2016,20.0
02/04/2016,18.5
03/04/2016,24.4
04/04/2016,15.8
05/04/2016,24.3
06/04/2016,27.6
07/04/2016,25.3
08/04/2016,25.8
09/04/2016,16.2
10/04/2016,21.1
11/04/2016,26.5
12/04/2016,18.8
13/04/2016,13.6
14/04/2016,13.1
15/04/2016,16.8
16/04/2016,25.2
17/04/2016,14.9
18/04/2016,10.1
19/04/2016,10.2
20/04/2016,11.6
21/04/2016,13.3
22/04/2016,12.6
23/04/2016,12.1
24/04/2016,13.8
25/04/2016,11.7
26/04/2016,11.1
27/04/2016,12.6
28/04/2016,21.3
29/04/2016,32.5
30/04/2016,22.2